Spin ID,Date / Time,Number,Colour,Parity,Range,Table Session,
2907c85e-ba67-4e81-8701-8ca749acd77c:1,2026-07-18T05:45:47.887Z,4,Black,even,low,2907c85e-ba67-4e81-8701-8ca749acd77c,
2907c85e-ba67-4e81-8701-8ca749acd77c:2,2026-07-18T05:47:17.081Z,7,Red,odd,low,2907c85e-ba67-4e81-8701-8ca749acd77c,
2907c85e-ba67-4e81-8701-8ca749acd77c:3,2026-07-18T05:47:27.637Z,6,Black,even,low,2907c85e-ba67-4e81-8701-8ca749acd77c,
2907c85e-ba67-4e81-8701-8ca749acd77c:4,2026-07-18T05:47:45.540Z,8,Black,even,low,2907c85e-ba67-4e81-8701-8ca749acd77c,
2907c85e-ba67-4e81-8701-8ca749acd77c:5,2026-07-18T05:48:00.912Z,19,Red,odd,high,2907c85e-ba67-4e81-8701-8ca749acd77c,
b7978444-873c-40a4-b8c8-22bd1cb0f8ac:1,2026-07-18T05:55:23.563Z,36,Red,even,high,b7978444-873c-40a4-b8c8-22bd1cb0f8ac,
b7978444-873c-40a4-b8c8-22bd1cb0f8ac:2,2026-07-18T05:55:31.744Z,14,Red,even,low,b7978444-873c-40a4-b8c8-22bd1cb0f8ac,
b7978444-873c-40a4-b8c8-22bd1cb0f8ac:3,2026-07-18T05:55:33.747Z,0,Green,Zero,Zero,b7978444-873c-40a4-b8c8-22bd1cb0f8ac,
b7978444-873c-40a4-b8c8-22bd1cb0f8ac:4,2026-07-18T05:55:37.137Z,0,Green,Zero,Zero,b7978444-873c-40a4-b8c8-22bd1cb0f8ac,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:1,2026-07-18T08:22:32.561Z,12,Red,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:2,2026-07-18T08:22:36.253Z,11,Black,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:3,2026-07-18T08:22:38.160Z,16,Red,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:4,2026-07-18T08:22:40.387Z,26,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:5,2026-07-18T08:22:41.740Z,3,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:6,2026-07-18T08:22:43.401Z,31,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:7,2026-07-18T08:22:45.667Z,28,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:8,2026-07-18T08:22:47.369Z,29,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:9,2026-07-18T08:22:48.899Z,21,Red,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:10,2026-07-18T08:23:00.755Z,4,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:11,2026-07-18T08:23:04.006Z,22,Black,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:12,2026-07-18T08:23:09.635Z,30,Red,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:13,2026-07-18T08:23:32.654Z,2,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:14,2026-07-18T08:24:09.780Z,9,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:15,2026-07-18T08:24:48.243Z,23,Red,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:16,2026-07-18T08:25:26.552Z,3,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:17,2026-07-18T08:26:06.599Z,35,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:18,2026-07-18T08:26:50.204Z,6,Black,even,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:19,2026-07-18T08:27:21.961Z,34,Red,even,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:20,2026-07-18T08:27:56.338Z,19,Red,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:21,2026-07-18T08:28:34.073Z,29,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:22,2026-07-18T08:29:13.211Z,5,Red,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:23,2026-07-18T08:29:48.699Z,0,Green,Zero,Zero,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:24,2026-07-18T08:30:28.045Z,13,Black,odd,low,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
f4a548a2-7a06-4a32-bc6e-1bb2316f0519:25,2026-07-18T08:31:04.391Z,29,Black,odd,high,f4a548a2-7a06-4a32-bc6e-1bb2316f0519,
